,Name,ROM(GB),RAM(GB),Ratings,Price
0,REDMI 9i (Midnight Black),64,4,4.3,8299
1,realme C20 (Cool Grey),32,2,4.4,6799
2,Infinix Hot 10 (Obsidian Black),64,4,4.4,8999
3,Infinix Hot 10 (Ocean Wave),64,4,4.4,8999
4,Infinix Hot 10 (Moonlight Jade),64,4,4.4,8999
5,Infinix Hot 10 (Amber Red),64,4,4.4,8999
6,realme C21 (Cross Black),64,4,4.4,8999
7,realme C21 (Cross Blue),64,4,4.4,8999
8,realme C21 (Cross Black),32,3,4.5,7999
9,Infinix Smart 5 (7° Purple),32,2,4.4,7199
10,Infinix Smart 5 (Morandi Green),32,2,4.4,7199
11,Infinix Smart 5 (Obsidian Black),32,2,4.4,7199
12,Infinix Smart 5 (Aegean Blue),32,2,4.4,7199
13,POCO M3 (Power Black),64,6,4.3,10999
14,realme Narzo 30A (Laser Black),64,4,4.4,9999
15,realme Narzo 30A (Laser Black),32,3,4.4,8999
16,realme Narzo 30A (Laser Blue),32,3,4.4,8999
17,Infinix Hot 10 Play (7° Purple),64,4,4.3,8499
18,GIONEE Max (Red),32,2,4.1,5499
19,POCO M3 (Cool Blue),64,6,4.3,10999
20,Infinix Hot 10 Play (Morandi Green),64,4,4.3,8499
21,Infinix Hot 10 Play (Obsidian Black),64,4,4.3,8499
22,Infinix Hot 10 Play (Aegean Blue),64,4,4.3,8499
23,REDMI Note 9 (Aqua Green),64,4,4.4,10999
24,REDMI 9 Power (Electric Green),64,4,4.3,10499
25,MOTOROLA E7 Power (Tahiti Blue),64,4,4.1,8299
26,GIONEE Max (Black),32,2,4.1,5499
27,OPPO A33 (Moonlight Black),32,3,4.3,9990
28,realme 8 5G (Supersonic Blue),64,4,4.3,13999
29,POCO M2 Reloaded (Mostly Blue),64,4,4.4,9499
30,POCO M3 (Power Black),128,6,4.3,11999
31,realme C25 (Watery Blue),128,4,4.4,10999
32,realme C25 (Watery Grey),128,4,4.4,10999
33,REDMI 9 Prime (Mint Green),64,4,4.4,9999
34,SAMSUNG Galaxy F12 (Sky Blue),128,4,4.2,11999
35,OPPO A12 (Deep Blue),64,4,4.4,9999
36,OPPO A12 (Deep Blue),32,3,4.4,7990
37,OPPO A12 (Flowing Silver),64,4,4.4,8490
38,OPPO A12 (Black),32,3,4.4,7990
39,OPPO A12 (Flowing Silver),32,3,4.4,7990
40,OPPO A12 (Flowing Silver),32,3,4.4,7990
41,OPPO A12 (Blue),32,3,4.4,7990
42,POCO X3 Pro (Steel Blue),128,6,4.5,18999
43,OPPO A33 (Mint Cream),32,3,4.3,9990
44,POCO C3 (Lime Green),32,3,4.3,7499
45,realme Narzo 20 Pro (Black Ninja),64,6,4.3,14999
46,REDMI 9i (Sea Blue),64,4,4.3,8299
47,POCO M3 (Cool Blue),128,6,4.3,11999
48,Infinix Smart HD 2021 (Topaz Blue),32,2,4.4,6499
49,Infinix Smart HD 2021 (Obsidian Black),32,2,4.4,6499
50,Infinix Smart HD 2021 (Quartz Green),32,2,4.4,6499
51,REDMI Note 9 (Shadow Black),64,4,4.4,10999
52,REDMI 9 Power (Blazing Blue),64,4,4.3,10399
53,POCO C3 (Arctic Blue),64,4,4.3,8499
54,POCO M3 (Yellow),128,6,4.3,11999
55,realme C25 (Watery Grey),64,4,4.4,9999
56,REDMI 9 Power (Mighty Black),64,4,4.3,10499
57,realme X7 5G (Nebula),128,8,4.3,21999
58,realme C12 (Power Silver),32,3,4.4,7999
59,POCO M2 Reloaded (Greyish Black),64,4,4.4,9499
60,POCO X3 (Shadow Gray),64,6,4.4,14999
61,realme Narzo 20 Pro (Black Ninja),128,8,4.3,16999
62,SAMSUNG Galaxy M12 (Black),64,4,4.3,11001
63,realme Narzo 30 Pro 5G (Blade Silver),64,6,4.4,15999
64,SAMSUNG Galaxy F12 (Sea Green),64,4,4.2,10999
65,realme Narzo 30 Pro 5G (Sword Black),64,6,4.4,15999
66,realme C12 (Power Blue),32,3,4.4,7999
67,GIONEE Max Pro (Blue),32,3,3.9,6999
68,POCO X3 Pro (Graphite Black),128,6,4.5,18999
69,realme Narzo 20 (Glory Silver),64,4,4.3,10499
70,POCO M3 Pro 5G (Power Black),128,6,4.4,15999
71,REDMI Note 9 (Arctic White),64,4,4.4,10999
72,realme X7 5G (Space Silver),128,8,4.3,21999
73,Infinix Hot 10 (Moonlight Jade),128,6,4.3,10999
74,SAMSUNG Galaxy M12 (Black),64,4,4.3,11001
75,SAMSUNG Galaxy F12 (Sea Green),64,4,4.2,10999
76,realme Narzo 30 Pro 5G (Blade Silver),64,6,4.4,15999
77,realme Narzo 30 Pro 5G (Sword Black),64,6,4.4,15999
78,realme C12 (Power Blue),32,3,4.4,7999
79,GIONEE Max Pro (Blue),32,3,3.9,6999
80,POCO X3 Pro (Graphite Black),128,6,4.5,18999
81,POCO M3 Pro 5G (Power Black),128,6,4.4,15999
82,REDMI Note 9 (Arctic White),64,4,4.4,10999
83,Infinix Hot 10 (Moonlight Jade),128,6,4.3,10999
84,REDMI 9 Power (Mighty Black),128,6,4.3,12999
85,MOTOROLA G10 Power (Aurora Grey),64,4,4.1,9999
86,POCO M3 Pro 5G (Power Black),64,4,4.5,13999
87,realme 8 (Cyber Silver),128,8,4.4,16999
88,realme 8 (Cyber Black),128,4,4.3,14999
89,OPPO A53 (Moonlight Black),128,6,4.4,12990
90,OPPO A53 (Electric Black),64,4,4.5,10990
91,OPPO A53 (Moonlight Black),64,4,4.5,15990
92,OPPO A53s 5G (Crystal Blue),128,8,4.3,16990
93,realme C15 Qualcomm Edition (Power Blue),64,4,4.4,9999
94,realme C15 Qualcomm Edition (Power Silver),64,4,4.4,9999
95,realme Narzo 30 Pro 5G (Blade Silver),128,8,4.3,19999
96,realme C25s (Watery Grey),64,4,4.4,9999
97,REDMI 9 Prime (Matte Black),64,4,4.4,9999
98,REDMI 9 Prime (Sunrise Flare),64,4,4.4,9999
